"Page","H1","H2","H3","Words","Schemas","Issues","Status"
"app/page.tsx","1","5","10","1578","Breadcrumb","","OK"
"app/30-day-plan/page.tsx","1","3","4","702","","Word count: 702 (should be at least 1500); No schema found","NEEDS FIX"
"app/about/page.tsx","1","10","18","1597","Breadcrumb","","OK"
"app/case-studies/page.tsx","1","1","4","177","","H2 count: 1 (should be at least 3); Word count: 177 (should be at least 1500); No schema found","NEEDS FIX"
"app/comparison/page.tsx","1","6","9","1594","Breadcrumb","","OK"
"app/condos/page.tsx","1","5","18","982","Breadcrumb","Word count: 982 (should be at least 1500)","NEEDS FIX"
"app/condos/allure/page.tsx","1","4","9","769","","Word count: 769 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/altair/page.tsx","1","4","9","792","","Word count: 792 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/angel-court/page.tsx","1","4","9","803","","Word count: 803 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/apache-hills/page.tsx","1","4","9","803","","Word count: 803 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/condo-hotels/page.tsx","1","4","8","721","","Word count: 721 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/cosmopolitan/page.tsx","1","4","9","803","Breadcrumb","Word count: 803 (should be at least 1500)","NEEDS FIX"
"app/condos/eleventh-street-lofts/page.tsx","1","4","9","810","","Word count: 810 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/fremont-street-lofts/page.tsx","1","4","9","817","","Word count: 817 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/henderson/page.tsx","1","4","9","777","Breadcrumb","Word count: 777 (should be at least 1500)","NEEDS FIX"
"app/condos/high-rise/page.tsx","1","4","9","769","Breadcrumb","Word count: 769 (should be at least 1500)","NEEDS FIX"
"app/condos/juhl-lofts/page.tsx","1","4","9","777","","Word count: 777 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/loft-5/page.tsx","1","4","9","777","","Word count: 777 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/luxury/page.tsx","1","4","9","789","Breadcrumb","Word count: 789 (should be at least 1500)","NEEDS FIX"
"app/condos/mgm-city-center/page.tsx","1","4","9","841","","Word count: 841 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/mgm-signature/page.tsx","1","4","9","814","","Word count: 814 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/mid-rise/page.tsx","1","4","8","761","Breadcrumb","Word count: 761 (should be at least 1500)","NEEDS FIX"
"app/condos/most-expensive/page.tsx","1","4","9","847","","Word count: 847 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/new-listings/page.tsx","1","4","7","791","","Word count: 791 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/newport-lofts/page.tsx","1","4","9","776","","Word count: 776 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/ogden/page.tsx","1","4","9","791","","Word count: 791 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/one-las-vegas/page.tsx","1","4","9","844","","Word count: 844 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/one-queensridge/page.tsx","1","4","9","840","","Word count: 840 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/palms-place/page.tsx","1","4","9","813","","Word count: 813 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/panorama-towers/page.tsx","1","4","9","822","","Word count: 822 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/soho-lofts/page.tsx","1","4","9","776","","Word count: 776 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/sold/page.tsx","1","4","6","697","","Word count: 697 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/strip/page.tsx","1","4","9","813","","Word count: 813 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/summerlin/page.tsx","1","4","9","805","Breadcrumb","Word count: 805 (should be at least 1500)","NEEDS FIX"
"app/condos/summerlin-lofts/page.tsx","1","4","9","788","","Word count: 788 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/terra-bella/page.tsx","1","4","9","814","","Word count: 814 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/the-district/page.tsx","1","4","9","797","","Word count: 797 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/the-martin/page.tsx","1","4","9","788","","Word count: 788 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/townhomes/page.tsx","1","4","8","695","","Word count: 695 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/tramonto/page.tsx","1","4","9","770","","Word count: 770 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/trump-international/page.tsx","1","4","9","810","","Word count: 810 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/turnberry-place/page.tsx","1","4","9","815","","Word count: 815 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/turnberry-towers/page.tsx","1","4","9","810","","Word count: 810 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/vdara/page.tsx","1","4","9","767","","Word count: 767 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/veer-towers/page.tsx","1","4","9","809","","Word count: 809 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/viera/page.tsx","1","4","9","770","","Word count: 770 (should be at least 1500); No schema found","NEEDS FIX"
